%$Well : Cockburn1 : 04/04/2013 13:01:25
%DEPTH      PERM_F1    PHI        
%M          mD         Dec        
350.8248   3421.8420  0.2841     
350.9772   3413.1433  0.2840     
351.1296   3405.9441  0.2839     
351.2820   3397.9666  0.2839     
351.4344   3415.4363  0.2840     
351.5868   3451.1248  0.2843     
351.7392   3474.3169  0.2845     
351.8916   3479.6667  0.2845     
352.0440   3418.0640  0.2840     
352.1964   3341.5703  0.2834     
352.3488   3278.1001  0.2829     
352.5012   3267.3955  0.2828     
352.6536   3312.0417  0.2831     
352.8060   3384.4854  0.2838     
352.9584   3403.4856  0.2839     
353.1108   3361.8267  0.2836     
353.2632   3297.7356  0.2830     
353.4156   3229.4233  0.2824     
353.5680   3201.2280  0.2822     
353.7204   3191.8455  0.2821     
353.8728   3175.5698  0.2820     
354.0252   3154.5947  0.2818     
354.1776   3137.4810  0.2816     
354.3300   3118.2805  0.2814     
354.4824   3086.6460  0.2812     
354.6348   3061.4490  0.2809     
354.7872   3047.5679  0.2808     
354.9396   3033.9529  0.2807     
355.0920   3044.7068  0.2808     
355.2444   3078.9824  0.2811     
355.3968   3131.5032  0.2816     
355.5492   3182.7800  0.2820     
355.7016   3232.8733  0.2825     
355.8540   3293.6577  0.2830     
356.0064   3360.1912  0.2836     
356.1588   3431.1978  0.2841     
356.3112   3495.2007  0.2847     
356.4636   3520.4082  0.2849     
356.6160   3516.6758  0.2848     
356.7684   3511.9470  0.2848     
356.9208   3511.0579  0.2848     
357.0732   3519.0532  0.2849     
357.2256   3534.6382  0.2850     
357.3780   3556.4983  0.2852     
357.5304   3565.2012  0.2852     
357.6828   3570.6094  0.2853     
357.8352   3571.5681  0.2853     
357.9876   3567.3247  0.2853     
358.1400   3570.4790  0.2853     
358.2924   3572.5681  0.2853     
358.4448   3576.2195  0.2853     
358.5972   3587.7556  0.2854     
358.7496   3606.4734  0.2856     
358.9020   3635.1453  0.2858     
359.0544   3663.2927  0.2860     
359.2068   3682.1538  0.2862     
359.3592   3672.7124  0.2861     
359.5116   3643.9868  0.2859     
359.6640   3602.3770  0.2855     
359.8164   3564.7393  0.2852     
359.9688   3534.6899  0.2850     
360.1212   3514.9431  0.2848     
360.2736   3516.4512  0.2848     
360.4260   3559.6772  0.2852     
360.5784   3598.6340  0.2855     
360.7308   3631.4624  0.2858     
360.8832   3661.0911  0.2860     
361.0356   3690.0454  0.2862     
361.1880   3711.9265  0.2864     
361.3404   3732.8137  0.2866     
361.4928   3751.3062  0.2867     
361.6452   3776.1724  0.2869     
361.7976   3806.7544  0.2871     
361.9500   3826.4536  0.2873     
362.1024   3828.8796  0.2873     
362.2548   3817.2185  0.2872     
362.4072   3804.5898  0.2871     
362.5596   3800.7173  0.2871     
362.7120   3810.1064  0.2871     
362.8644   3816.6956  0.2872     
363.0168   3814.4150  0.2872     
363.1692   3820.7332  0.2872     
363.3216   3832.7383  0.2873     
363.4740   3843.4297  0.2874     
363.6264   3837.1213  0.2873     
